"","X","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"3",3,"Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","BNA","L",322.8,50.51,373.31,9.75,2.25,7.5,5.25,3.5,13,"Full Migrant",1,5,11.5,"Mainly Female",1,1,1,0,2.5,65.09,"N",0,0,-4.79,29.65
"4",4,"Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","BWP","L",219.8,49.03,268.83,9.1,2.1,6.2,4.9,3.9,13,"Full Migrant",1,5,11.5,"Mainly Female",1,1,1,0,2.5,65.09,"N",0,0,-4.79,29.65
"5",5,"Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","Tring","M",230.84,40.06,270.89,9.71,2.54,5.33,4.64,3.47,13,"Full Migrant",1,5,11.5,"Mainly Female",1,1,1,0,2.5,65.09,"N",0,0,-4.79,29.65
"6",6,"Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","BNA","L",203.81,65.68,269.49,8.7,1.55,6.8,5.6,4,13,"Full Migrant",1,5,11.5,"Mainly Female",1,1,1,0,2.5,65.09,"N",0,0,-4.79,29.65
"7",7,"Acanthorhynchus_superciliosus","Acanthorhynchus_superciliosus","Western Spinebill","Meliphagidae","Honeyeaters","HBW","L",121.78,20.53,142.3,7.3,1.9,5.1,3.5,3.2,9.72,"Not a Migrant",0,1.6,15,"Mainly Female",1,0,0,0,6.5,-32.95,"S",0,0,16.73,33.77
"8",8,"Acanthorhynchus_tenuirostris","Acanthorhynchus_tenuirostris","Eastern Spinebill","Meliphagidae","Honeyeaters","HBW","L",119.58,46.07,165.66,6.95,1.1,6.55,4.75,3.9,10.44,"Not a Migrant",0,2.2,13.7,"Mainly Female",1,0,0,0,9.45,-33.91,"S",0,0,16.32,74.39
"12",12,"Acrocephalus_arundinaceus","Acrocephalus_arundinaceus","Great Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L",279.26,69.13,348.38,8.9,1.8,8.4,5.3,4.7,30,"Full Migrant",1,5,13,"Mainly Female",1,0,0,0,1.05,51.2,"N",0,0,9.24,40.91
"13",13,"Acrocephalus_australis","Acrocephalus_australis","Australasian Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L",323.53,72.29,395.81,7.7,1.4,12.75,4.9,5.75,17.7,"Full Migrant",1,3.11,11.5,"Mainly Female",1,0,0,0,1.15,-28.7,"S",0,0,22.73,81.54
"15",15,"Acrocephalus_dumetorum","Acrocephalus_dumetorum","Blyth's Reed-warbler","Acrocephalidae","Reed-warblers","BWP","L",347.32,74.85,422.17,10.3,2.3,7.6,5.7,4.4,11.2,"Full Migrant",1,4.5,11,"Mainly Female",1,0,0,0,0.8,56.5,"N",0,0,5.19,39.03
"19",19,"Acrocephalus_melanopogon","Acrocephalus_melanopogon","Moustached Warbler","Acrocephalidae","Reed-warblers","BWP","L",192.57,49.54,242.11,8.5,2.08,6.4,4.35,5,10.9,"Full Migrant",1,4,12,"Female",1,0,0,0,0.8,42.47,"N",0,0,14.94,27.22
"20",20,"Acrocephalus_melanopogon","Acrocephalus_melanopogon","Moustached Warbler","Acrocephalidae","Reed-warblers","Tring","M",355.46,48.3,403.77,8.5,2.19,10.68,4.11,5.46,10.9,"Full Migrant",1,4,12,"Female",1,0,0,0,0.8,42.47,"N",0,0,14.94,27.22
"22",22,"Acrocephalus_paludicola","Acrocephalus_paludicola","Aquatic Warbler","Acrocephalidae","Reed-warblers","BWP","L",146.53,64.71,211.24,8.2,1.45,6,5.3,4.4,11.6,"Full Migrant",1,5,14.5,"Excl_Female Care",1,0,0,0,0.17,51.94,"N",0,0,9.57,49.34
"23",23,"Acrocephalus_palustris","Acrocephalus_palustris","Marsh Warbler","Acrocephalidae","Reed-warblers","HBW","L",280.73,67.66,348.38,8.9,1.8,8.4,5.3,4.6,11.5,"Full Migrant",1,4.5,11,"Mainly Female",1,0,0,0,1.1,52.78,"N",0,0,8.99,49.29
"26",26,"Acrocephalus_schoenobaenus","Acrocephalus_schoenobaenus","Sedge Warbler","Acrocephalidae","Reed-warblers","Tring","M",385.92,63.63,449.54,10.61,2.7,7.83,5.22,4.46,11.83,"Full Migrant",1,5.5,11.5,"Female",1,0,0,0,0.4,58.41,"N",0,0,5.88,41.13
"27",27,"Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Common Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L",158.47,65.37,223.84,7.5,1.2,7.6,5.1,4.8,12.3,"Full Migrant",1,4,11,"Mainly Female",1,0,0,0,1.08,49.36,"N",0,0,14.08,45.77
"28",28,"Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Common Reed-warbler","Acrocephalidae","Reed-warblers","BWP","L",206.84,63.94,270.77,7.8,1.5,8.5,4.8,5.3,12.3,"Full Migrant",1,4,11,"Mainly Female",1,0,0,0,1.08,49.36,"N",0,0,14.08,45.77
"29",29,"Acrocephalus_stentoreus","Acrocephalus_stentoreus","Clamorous Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L",938.34,102.07,1040.41,11.25,2.78,15.7,5.7,6,24.2,"Full Migrant",1,4.5,12,"Mainly Female",1,0,0,0,1.05,39.25,"N",0,0,18.25,58.57
"30",30,"Acrocephalus_stentoreus","Acrocephalus_stentoreus","Clamorous Reed-warbler","Acrocephalidae","Reed-warblers","BWP","L",744.47,112.09,856.57,11.85,2.98,11.65,5.9,6.15,24.2,"Full Migrant",1,4.5,12,"Mainly Female",1,0,0,0,1.05,39.25,"N",0,0,18.25,58.57
"36",36,"Agelaius_phoeniceus","Agelaius_phoeniceus","Red-winged Blackbird","Icteridae","New World blackbirds","Tring","M",567.04,150.53,717.57,12.39,2.76,8.93,6.87,6.1,50.78,"Not a Migrant",0,3.25,11,"Female",1,1,0,0,1.5,47.92,"N",0,0,9.08,60.42
"37",37,"Agelaius_phoeniceus","Agelaius_phoeniceus","Red-winged Blackbird","Icteridae","New World blackbirds","BNA","L",652.79,214.73,867.52,11.9,2.15,11.7,7.6,7.1,50.78,"Not a Migrant",0,3.25,11,"Female",1,1,0,0,1.5,47.92,"N",0,0,9.08,60.42
"38",38,"Agelaius_phoeniceus","Agelaius_phoeniceus","Red-winged Blackbird","Icteridae","New World blackbirds","BNA","L",681.4,191.44,872.84,12.2,2.35,11.2,7.5,6.5,50.78,"Not a Migrant",0,3.25,11,"Female",1,1,0,0,1.5,47.92,"N",0,0,9.08,60.42
"39",39,"Agelaius_tricolor","Agelaius_tricolor","Tricolored Blackbird","Icteridae","New World blackbirds","BNA","L",1273.38,229.85,1503.23,12.7,2.55,17.8,7.6,7.6,57.92,"Not a Migrant",0,4,12.5,"Female",1,1,0,0,1.5,36.99,"N",0,0,15.58,29.29
"40",40,"Agelaius_xanthomus","Agelaius_xanthomus","Yellow-shouldered Blackbird","Icteridae","New World blackbirds","NBO","L",296.43,102.07,398.5,8.1,1.1,11.6,5.9,5.6,38.4,"Not a Migrant",0,2.5,14.5,"Female",1,0,1,0,10,18.04,"N",1,1,25.64,109.3
"50",50,"Aimophila_ruficeps","Aimophila_ruficeps","Rufous-crowned Sparrow","Passerellidae","New World sparrows","BNA","L",336.33,76.55,412.88,11.1,2.6,6.4,5.9,4.2,18.69,"Not a Migrant",0,3.5,8.5,"Female",1,1,0,0,0.23,28.21,"N",0,0,17.67,43
"54",54,"Alaemon_alaudipes","Alaemon_alaudipes","Greater Hoopoe-lark","Alaudidae","Larks","Tring","M",662.2,41.68,703.88,14.13,4.69,6.63,4.75,3.46,43.72,"Not a Migrant",0,2,12.5,"Female",1,1,0,0,0.3,25.55,"N",0,0,26.43,6.91
"55",55,"Alauda_arvensis","Alauda_arvensis","Eurasian Skylark","Alaudidae","Larks","Tring","M",322.52,51.32,373.84,12.57,3.62,4.51,5.33,3.36,37.31,"Full Migrant",1,4,9,"Female",0,1,0,0,0,55.75,"N",0,0,4.59,39.99
"58",58,"Alaudala_rufescens","Calandrella_rufescens","Lesser Short-toed Lark","Alaudidae","Larks","Tring","M",105.37,52.73,158.1,8.59,1.62,4.06,5.35,3.26,24.1,"Full Migrant",1,3,9,"Female",0,1,0,0,0,43.14,"N",0,0,10.48,22.36
