"","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"1","Abroscopus_albogularis","Abroscopus_albogularis","Rufous-faced Warbler","Scotocercidae","Bush-warblers","Tring","M","NA","59.5","NA","NA","NA","NA","4.68","5.19",4.84,"Not a Migrant",0,4,"NA","Both",0,0,0,1,"NA",24.87,"N",0,0,20.32,156.58
"2","Acanthagenys_rufogularis","Acanthagenys_rufogularis","Spiny-cheeked Honeyeater","Meliphagidae","Honeyeaters","HBW","L","471.95","149.29","621.24","11.45","2.13","9.0500000000000007","7.2","5.5",47.8,"Not a Migrant",0,2.22,"16.5","NA",1,0,0,0,"7.4",-27.39,"S",0,0,23,26.15
"3","Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","BNA","L","322.8","50.51","373.31","9.75","2.25","7.5","5.25","3.5",13,"Full Migrant",1,5,"11.5","Mainly Female",1,1,1,0,"2.5",65.09,"N",0,0,-4.79,29.65
"4","Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","BWP","L","219.8","49.03","268.83","9.1","2.1","6.2","4.9000000000000004","3.9",13,"Full Migrant",1,5,"11.5","Mainly Female",1,1,1,0,"2.5",65.09,"N",0,0,-4.79,29.65
"5","Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","Tring","M","230.84","40.06","270.89","9.7100000000000009","2.54","5.33","4.6399999999999997","3.47",13,"Full Migrant",1,5,"11.5","Mainly Female",1,1,1,0,"2.5",65.09,"N",0,0,-4.79,29.65
"6","Acanthis_flammea","Carduelis_flammea","Redpoll","Fringillidae","Finches","BNA","L","203.81","65.680000000000007","269.49","8.6999999999999993","1.55","6.8","5.6","4",13,"Full Migrant",1,5,"11.5","Mainly Female",1,1,1,0,"2.5",65.09,"N",0,0,-4.79,29.65
"7","Acanthorhynchus_superciliosus","Acanthorhynchus_superciliosus","Western Spinebill","Meliphagidae","Honeyeaters","HBW","L","121.78","20.53","142.30000000000001","7.3","1.9","5.0999999999999996","3.5","3.2",9.72,"Not a Migrant",0,1.6,"15","Mainly Female",1,0,0,0,"6.5",-32.95,"S",0,0,16.73,33.77
"8","Acanthorhynchus_tenuirostris","Acanthorhynchus_tenuirostris","Eastern Spinebill","Meliphagidae","Honeyeaters","HBW","L","119.58","46.07","165.66","6.95","1.1000000000000001","6.55","4.75","3.9",10.44,"Not a Migrant",0,2.2,"13.7","Mainly Female",1,0,0,0,"9.4499999999999993",-33.91,"S",0,0,16.32,74.39
"9","Acrocephalus_aequinoctialis","Acrocephalus_aequinoctialis","Kiritimati Reed-warbler","Acrocephalidae","Reed-warblers","HBW","L","373.15","61.6","434.75","9.3000000000000007","2.2000000000000002","9.6","4.9000000000000004","4.9000000000000004",25,"Not a Migrant",0,3,"NA","NA",1,0,0,0,"4.95",1.92,"N",1,1,26.75,161.42
"10","Acrocephalus_agricola","Acrocephalus_agricola","Paddyfield Warbler","Acrocephalidae","Reed-warblers","BWP","L","143.38","52.05","195.43","7.2","1.25","7.2","4.7","4.5",9.6,"Full Migrant",1,4.5,"NA","Both",1,0,0,0,"1.05",47.24,"N",0,0,9.93,23.15
