"","Outer_volume..cm3","Mean_temperature","Mean_rainfall","Range_midpoint_latitude","Insularity","Loc_rock","HBW_names"
"3",322.8,-4.79,29.65,65.09,0,1,"Acanthis_flammea"
"4",219.8,-4.79,29.65,65.09,0,1,"Acanthis_flammea"
"5",230.84,-4.79,29.65,65.09,0,1,"Acanthis_flammea"
"6",203.81,-4.79,29.65,65.09,0,1,"Acanthis_flammea"
"7",121.78,16.73,33.77,-32.95,0,0,"Acanthorhynchus_superciliosus"
"8",119.58,16.32,74.39,-33.91,0,0,"Acanthorhynchus_tenuirostris"
"12",279.26,9.24,40.91,51.2,0,0,"Acrocephalus_arundinaceus"
"13",323.53,22.73,81.54,-28.7,0,0,"Acrocephalus_australis"
"15",347.32,5.19,39.03,56.5,0,0,"Acrocephalus_dumetorum"
"19",192.57,14.94,27.22,42.47,0,0,"Acrocephalus_melanopogon"
"20",355.46,14.94,27.22,42.47,0,0,"Acrocephalus_melanopogon"
"22",146.53,9.57,49.34,51.94,0,0,"Acrocephalus_paludicola"
"23",280.73,8.99,49.29,52.78,0,0,"Acrocephalus_palustris"
"26",385.92,5.88,41.13,58.41,0,0,"Acrocephalus_schoenobaenus"
"27",158.47,14.08,45.77,49.36,0,0,"Acrocephalus_scirpaceus"
"28",206.84,14.08,45.77,49.36,0,0,"Acrocephalus_scirpaceus"
"29",938.34,18.25,58.57,39.25,0,0,"Acrocephalus_stentoreus"
"30",744.47,18.25,58.57,39.25,0,0,"Acrocephalus_stentoreus"
"36",567.04,9.08,60.42,47.92,0,0,"Agelaius_phoeniceus"
"37",652.79,9.08,60.42,47.92,0,0,"Agelaius_phoeniceus"
"38",681.4,9.08,60.42,47.92,0,0,"Agelaius_phoeniceus"
"39",1273.38,15.58,29.29,36.99,0,0,"Agelaius_tricolor"
"40",296.43,25.64,109.3,18.04,1,1,"Agelaius_xanthomus"
"50",336.33,17.67,43,28.21,0,0,"Aimophila_ruficeps"
"54",662.2,26.43,6.91,25.55,0,0,"Alaemon_alaudipes"
"55",322.52,4.59,39.99,55.75,0,0,"Alauda_arvensis"
"58",105.37,10.48,22.36,43.14,0,0,"Alaudala_rufescens"
"66",219.06,13.88,96.81,38.38,0,0,"Ammospiza_caudacuta"
"69",272.27,18.74,105.03,31.76,0,0,"Ammospiza_maritima"
"70",205.74,7.93,62.59,50.09,0,0,"Ammospiza_nelsoni"
"72",424.95,17.1,23.32,32.76,0,0,"Amphispiza_bilineata"
"74",347.65,19.96,23.49,28.42,0,0,"Amphispiza_quinquestriata"
"76",314.24,22.49,66.03,-18.41,0,0,"Andropadus_importunus"
"79",299.94,15.91,65.14,-36.25,0,0,"Anthochaera_phrygia"
"87",360.97,5.5,69.25,61.15,0,1,"Anthus_petrosus"
"88",326.52,4.64,48.63,61.11,0,0,"Anthus_pratensis"
"92",305.87,4.41,42.51,58.26,0,0,"Anthus_trivialis"
"95",798.49,12.98,31.95,38.03,0,0,"Aphelocoma_californica"
"97",12376.3,20.62,153.31,15.05,0,0,"Aphelocoma_unicolor"
"99",748.41,25.3,13.65,32.27,0,0,"Argya_altirostris"
"100",706.77,25.3,13.65,32.27,0,0,"Argya_altirostris"
"101",1343.2,27.36,31.53,23.63,0,0,"Argya_caudata"
"104",1098.54,25.1,10.37,22.31,0,0,"Argya_squamiceps"
"115",819.76,3.99,31.21,50.94,0,0,"Arundinax_aedon"
"126",97.39,21.34,73.37,-13.84,0,0,"Batis_molitor"
"132",706.93,6.4,62.99,48.98,0,0,"Bombycilla_cedrorum"
"133",417.92,6.4,62.99,48.98,0,0,"Bombycilla_cedrorum"
"135",1131.98,-0.8,33.02,62.48,0,0,"Bombycilla_garrulus"
