"","PC1","PC2","PC3","PC4","PC5","PC6","Species","Outer_volume","log_Outer_volume"
"3",3.04266462654898,-1.23596032550908,0.971418351767722,1.75668439552472,0.114725809182555,-0.633387505605714,"Acanthis_flammea",322.8,5.78012604124353
"4",3.0415219059931,-1.22834932750344,0.974666866631445,1.76292889531598,0.11492039854415,-0.633417537218991,"Acanthis_flammea",219.8,5.39725731440294
"5",3.04164438788569,-1.22916510826055,0.974318676300421,1.76225958194029,0.114899541587334,-0.633414318296558,"Acanthis_flammea",230.84,5.44604747857237
"6",3.04134450694758,-1.22716777548296,0.975171174909804,1.76389830843891,0.114950607125625,-0.633422199408275,"Acanthis_flammea",203.81,5.3220827200983
"7",-0.99133897527022,0.409572359515344,-1.40732290753903,0.314447483619299,-0.93119186711759,-1.14750344395394,"Acanthorhynchus_superciliosus",121.78,4.81039413599935
"8",-1.41007566734383,0.240153147876963,-1.10638913572067,0.265010753592359,-0.204425810282893,-1.24651282490634,"Acanthorhynchus_tenuirostris",119.58,4.79231343306126
"12",0.970824808455294,0.555907489922906,0.10411983534541,-0.336772023057115,-0.119255983310091,0.161976859549707,"Acrocephalus_arundinaceus",279.26,5.63571774374207
"13",-1.81851953882101,0.189964832349378,-1.31334919026087,0.325574037543046,-0.130603666769881,-0.565070030681033,"Acrocephalus_australis",323.53,5.78237798179387
"15",1.35977117453338,0.579374429105605,0.359123718776164,-0.441334205562406,-0.0598599342485038,-0.069187438781446,"Acrocephalus_dumetorum",347.32,5.85312159748624
"19",0.572790452551306,0.587487952043019,-0.389324737249646,-0.163239643568669,-0.50424588179084,0.473637656729793,"Acrocephalus_melanopogon",192.57,5.26563920415745
"20",0.574597615185745,0.575451491216429,-0.394462121581219,-0.173115047170593,-0.504553616364725,0.47368515041413,"Acrocephalus_melanopogon",355.46,5.8762220315957
"22",0.871711817575793,0.531379011032455,0.162227595756172,-0.337330681516377,0.0324778895310638,0.200119243422795,"Acrocephalus_paludicola",146.53,4.99403154492948
"23",0.927955055263088,0.52479581805506,0.197452629345926,-0.36059270137668,0.0452337403441765,0.168736883022113,"Acrocephalus_palustris",280.73,5.64094916548463
"26",1.32652844737674,0.569928151186273,0.363411106375606,-0.445444878640272,-0.0188236931525648,0.0345642128158284,"Acrocephalus_schoenobaenus",385.92,5.95821795331435
"27",0.559863108363584,0.528954639201277,-0.122254786107877,-0.239314097769521,-0.112406372633174,0.541256071650592,"Acrocephalus_scirpaceus",158.47,5.07185581675988
"28",0.560399743249875,0.525380425866006,-0.123780326534656,-0.242246587622951,-0.112497754064439,0.541270174846069,"Acrocephalus_scirpaceus",206.84,5.33676855292229
"29",-0.0306214387540164,0.387527126181081,-0.393637987955087,-0.168301437888334,-0.0125950044700158,0.659390113240038,"Acrocephalus_stentoreus",938.34,6.84517750099741
"30",-0.0327723051051661,0.401852797864125,-0.387523526046057,-0.156547834252106,-0.0122287419502847,0.659333586746193,"Acrocephalus_stentoreus",744.47,6.61401489194639
